Like_Dislike,Unfriendly_Friendly,Unkind_Kind,Unpleasant_Pleasant,Awful_Nice,Group
3,1,4,2,1,No Encouragement
2,3,2,2,3,No Encouragement
2,4,4,4,5,No Encouragement
3,5,5,5,4,No Encouragement
4,4,4,4,4,No Encouragement
2,4,3,3,3,No Encouragement
3,4,4,3,4,No Encouragement
3,3,3,4,3,No Encouragement
2,4,3,3,2,No Encouragement
3,4,4,5,5,Encouragement
4,4,4,4,4,Encouragement
4,2,4,3,3,Encouragement
3,4,5,4,4,Encouragement
2,4,4,4,4,Encouragement
4,4,3,4,4,Encouragement
4,4,4,4,4,Encouragement
4,4,4,5,4,Encouragement
3,3,4,4,3,Encouragement
